AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTURA LTE,COBERTURA 5G,COBERTURA 4G
2021,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50110,BARRANCA DE UPÍA,0,50110001,SAN IGNACIO,0,1,1,0,0,0
2022,1,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,05642,SALGAR,1,05642000,SALGAR,1,1,1,0,0,1
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25269,FACATATIVÁ,0,25269022,SAN ISIDRO,0,1,0,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15377,LABRANZAGRANDE,1,15377000,LABRANZAGRANDE,1,1,1,0,0,1
2021,2,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70001,SINCELEJO,0,70001007,LA GALLERA,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19001,POPAYÁN,0,19001039,PARCELACION ATARDECERES DE LA PRADERA,0,0,0,0,0,0
2022,3,PARTNERS TELECOM COLOMBIA SAS,41,HUILA,41548,PITAL,1,41548000,PITAL,0,1,1,0,0,1
2022,4,PARTNERS TELECOM COLOMBIA SAS,13,BOLÍVAR,13430,MAGANGUÉ,1,13430000,MAGANGUÉ,0,1,1,0,0,1
2023,2,COLOMBIA MOVIL  S.A ESP,17,CALDAS,17174,CHINCHINÁ,1,17174000,CHINCHINÁ,0,1,1,0,0,1
2022,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25596,QUIPILE,1,25596000,QUIPILE,1,1,1,0,0,1
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25307,GIRARDOT,1,25307000,GIRARDOT,1,1,1,0,0,1
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73268,ESPINAL,0,73268001,CHICORAL,1,1,1,0,0,1
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25743,SILVANIA,0,25743002,AZAFRANAL,1,1,0,0,0,1
2022,2,COLOMBIA MOVIL  S.A ESP,23,CÓRDOBA,23162,CERETÉ,1,23162000,CERETÉ,1,1,1,0,0,1
2022,1,AVANTEL S.A.S,25,CUNDINAMARCA,25841,UBAQUE,1,25841000,UBAQUE,1,1,1,0,0,0
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25377,LA CALERA,0,25377010,ALTAMAR,1,1,0,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17050,ARANZAZU,0,17050012,LA HONDA,1,1,1,0,0,1
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20,CESAR,20517,PAILITAS,0,20517006,EL BURRO,1,0,0,0,0,0
2021,2,COLOMBIA MOVIL  S.A ESP,73,TOLIMA,73148,CARMEN DE APICALÁ,1,73148000,CARMEN DE APICALÁ,1,1,1,0,0,1
2022,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,0,25899006,PASOANCHO,1,1,1,0,0,1
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,17,CALDAS,17541,PENSILVANIA,1,17541000,PENSILVANIA,0,0,0,0,0,0
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47660,SABANAS DE SAN ANGEL,1,47660000,SAN ÁNGEL,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76834,TULUÁ,1,76834001,TULUÁ,1,1,1,1,0,0
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23182,CHINÚ,0,23182043,BAJO DE PIEDRA,1,0,0,0,0,0
2022,2,AVANTEL S.A.S,41,HUILA,41668,SAN AGUSTÍN,1,41668000,SAN AGUSTÍN,1,1,1,0,0,1
2021,4,AVANTEL S.A.S,52,NARIÑO,52720,SAPUYES,1,52720000,SAPUYES,1,1,1,0,0,0
2023,1,COMUNICACION CELULAR S A COMCEL S A,63,QUINDÍO,63190,CIRCASIA,0,63190020,QUINTAS DEL BOSQUE,1,1,1,0,0,1
2023,3,COLOMBIA MOVIL  S.A ESP,50,META,50226,CUMARAL,0,50226004,SAN NICOLÁS,0,0,0,0,0,1
2023,1,PARTNERS TELECOM COLOMBIA SAS,50,META,50287,FUENTE DE ORO,1,50287000,FUENTE DE ORO,0,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17001,MANIZALES,0,17001022,ALTO BONITO,1,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47030,ALGARROBO,0,47030001,BELLA VISTA,1,1,1,0,0,0
2022,1,PARTNERS TELECOM COLOMBIA SAS,52,NARIÑO,52385,LA LLANADA,1,52385000,LA LLANADA,0,1,1,0,0,0
2022,4,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76520,PALMIRA,0,76520025,POTRERILLO,0,1,1,0,0,1
