AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTURA LTE,COBERTURA 5G,COBERTURA 4G
2023,3,COLOMBIA MOVIL  S.A ESP,25,CUNDINAMARCA,25769,SUBACHOQUE,0,25769002,LA PRADERA,0,1,1,0,0,1
2023,1,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,0,13244021,PADULA,0,0,0,0,0,1
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,41,HUILA,41132,CAMPOALEGRE,1,41132000,CAMPOALEGRE,1,1,1,0,0,0
2021,3,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15476,MOTAVITA,1,15476000,MOTAVITA,0,1,1,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68745,SIMACOTA,0,68745011,EL GUAMO,1,1,1,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41306,GIGANTE,0,41306002,LA GRAN VÍA,1,0,0,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68655,SABANA DE TORRES,1,68655000,SABANA DE TORRES,1,1,1,0,0,1
2022,3,AVANTEL S.A.S,99,VICHADA,99001,PUERTO CARREÑO,1,99001000,PUERTO CARREÑO,1,1,1,0,0,1
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25769,SUBACHOQUE,0,25769007,LLANITOS,1,1,0,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19100,BOLÍVAR,0,19100021,SAN LORENZO,1,1,1,0,0,1
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,63,QUINDÍO,63190,CIRCASIA,1,63190000,CIRCASIA,1,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25473,MOSQUERA,0,25473007,PARCELAS,1,1,1,0,0,1
2022,2,COLOMBIA MOVIL  S.A ESP,25,CUNDINAMARCA,25743,SILVANIA,1,25743000,SILVANIA,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13442,MARÍA LA BAJA,0,13442014,COLÚ,1,1,1,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25372,JUNÍN,0,25372002,CHUSCALES,1,0,0,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25486,NEMOCÓN,0,25486006,EL PLAN,1,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68547,PIEDECUESTA,0,68547019,LA VEGA,1,1,1,0,0,1
2022,2,COLOMBIA MOVIL  S.A ESP,44,LA GUAJIRA,44420,LA JAGUA DEL PILAR,1,44420000,LA JAGUA DEL PILAR,1,1,1,0,0,1
2022,4,COLOMBIA MOVIL  S.A ESP,63,QUINDÍO,63470,MONTENEGRO,0,63470010,LA MONTAÑA,0,0,0,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08520,PALMAR DE VARELA,1,08520001,PALMAR DE VARELA,1,1,1,1,0,0
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05376,LA CEJA,1,05376001,LA CEJA,1,1,1,1,0,0
2023,3,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,05147,CAREPA,1,05147000,CAREPA,0,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,44,LA GUAJIRA,44098,DISTRACCIÓN,0,44098002,CHORRERAS,1,1,1,1,0,0
2021,2,AVANTEL S.A.S,25,CUNDINAMARCA,25572,PUERTO SALGAR,1,25572000,PUERTO SALGAR,1,1,1,0,0,0
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,18,CAQUETA,18785,SOLITA,1,18785000,SOLITA,0,0,0,0,0,1
2023,1,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76001,CALI,1,76001000,SANTIAGO DE CALI,0,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68368,JESÚS MARÍA,1,68368000,JESÚS MARÍA,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73055,ARMERO,0,73055003,SAN PEDRO,1,0,0,0,0,0
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05172,CHIGORODÓ,1,05172000,CHIGORODÓ,1,1,1,0,0,1
2023,1,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25053,ARBELÁEZ,1,25053000,ARBELÁEZ,0,1,1,0,0,1
2023,2,PARTNERS TELECOM COLOMBIA SAS,73,TOLIMA,73408,LÉRIDA,1,73408000,LÉRIDA,0,1,1,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25269,FACATATIVÁ,0,25269019,SAGRADO CORAZÓN,1,1,1,0,0,1
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47053,ARACATACA,0,47053011,CAUCA,1,0,0,0,0,0
2021,4,COLOMBIA MOVIL  S.A ESP,23,CÓRDOBA,23350,LA APARTADA,0,23350003,LA BALSA,1,1,1,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41799,TELLO,1,41799000,TELLO,1,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001,VALLEDUPAR,0,20001007,GUATAPURÍ,1,1,1,0,0,1
2023,1,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52287,FUNES,1,52287000,FUNES,0,1,1,0,0,1
2023,1,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66440,MARSELLA,0,66440001,ALTO CAUCA,1,1,1,0,0,1
2023,1,COMUNICACION CELULAR S A COMCEL S A,44,LA GUAJIRA,44001,RIOHACHA,0,44001004,CASCAJALITO,0,0,0,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15720,SATIVANORTE,0,15720001,SATIVA VIEJO,1,1,1,0,0,1
2022,3,COLOMBIA MOVIL  S.A ESP,68,SANTANDER,68547,PIEDECUESTA,1,68547000,PIEDECUESTA,1,1,1,0,0,1
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,20,CESAR,20013,AGUSTÍN CODAZZI,0,20013002,CASACAZA,0,0,0,0,0,0
2022,3,AVANTEL S.A.S,52,NARIÑO,52233,CUMBITARA,1,52233000,CUMBITARA,1,1,1,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001,VALLEDUPAR,0,20001001,AGUAS BLANCAS,1,1,1,0,0,1
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25269,FACATATIVÁ,0,25269024,TIERRA GRATA SECTOR EL CRUCE,1,1,0,0,0,1
2022,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76109,BUENAVENTURA,0,76109017,TRIANA,1,1,1,0,0,0
2022,2,PARTNERS TELECOM COLOMBIA SAS,68,SANTANDER,68686,SAN MIGUEL,1,68686000,SAN MIGUEL,0,1,1,0,0,0
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,54,NORTE DE SANTANDER,54125,CÁCOTA,1,54125000,CÁCOTA,0,0,0,0,0,0
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76400,LA UNIÓN,0,76400010,EL GUASIMO,0,1,1,0,0,1
2023,1,PARTNERS TELECOM COLOMBIA SAS,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,1,88001000,SAN ANDRÉS,0,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15022,ALMEIDA,1,15022000,ALMEIDA,1,1,1,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76892,YUMBO,0,76892005,MULALÓ,1,1,1,0,0,1
2023,2,PARTNERS TELECOM COLOMBIA SAS,05,ANTIOQUIA,05628,SABANALARGA,1,05628000,SABANALARGA,0,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25258,EL PEÑÓN,0,25258002,TALAUTA,1,1,1,0,0,1
2022,2,PARTNERS TELECOM COLOMBIA SAS,18,CAQUETA,18610,SAN JOSÉ DEL FRAGUA,1,18610000,SAN JOSÉ DEL FRAGUA,0,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13873,VILLANUEVA,0,13873001,ZIPACOA,1,1,0,0,0,0
2021,4,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68235,EL CARMEN DE CHUCURÍ,0,68235017,LA EXPLANACIÓN,1,1,1,0,0,0
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70110,BUENAVISTA,1,70110000,BUENAVISTA,1,1,1,0,0,1
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,15814,TOCA,1,15814000,TOCA,1,1,0,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15296,GAMEZA,1,15296000,GÁMEZA,1,1,1,0,0,1
2021,3,COLOMBIA MOVIL  S.A ESP,19,CAUCA,19532,PATÍA,0,19532009,PIEDRASENTADA,1,0,0,0,0,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05045,APARTADÓ,0,05045001,SAN JOSÉ DE APARTADÓ,1,0,0,0,0,0
2022,2,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05036,ANGELÓPOLIS,0,05036006,SANTA RITA,1,1,1,0,0,1
2021,4,AVANTEL S.A.S,52,NARIÑO,52240,CHACHAGÜÍ,1,52240000,CHACHAGÜÍ,1,1,1,0,0,1
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,41349,HOBO,1,41349000,HOBO,1,1,0,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76520,PALMIRA,0,76520023,OBANDO,0,0,0,0,0,0
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70110,BUENAVISTA,0,70110004,LAS CHICHAS,1,0,0,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05736,SEGOVIA,0,0,LA CALIENTE,0,0,0,0,0,0
2021,4,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25596,QUIPILE,1,25596000,QUIPILE,0,1,1,0,0,0
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25394,LA PALMA,1,25394001,LA PALMA,1,1,0,0,0,0
2023,1,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41518,PAICOL,1,41518000,PAICOL,1,1,1,0,0,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08638,SABANALARGA,0,08638001,AGUADA DE PABLO,1,1,1,0,0,1
2022,1,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,1,05658000,SAN JOSÉ DE LA MONTAÑA,0,1,1,0,0,1
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76233,DAGUA,0,76233009,EL PALMAR,1,1,1,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,50,META,50251,EL CASTILLO,1,50251000,EL CASTILLO,1,1,1,0,0,1
2022,2,PARTNERS TELECOM COLOMBIA SAS,68,SANTANDER,68255,EL PLAYÓN,1,68255000,EL PLAYÓN,0,1,1,0,0,1
2022,3,COLOMBIA MOVIL  S.A ESP,50,META,50683,SAN JUAN DE ARAMA,0,50683012,MIRAFLOREZ,0,0,0,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,44,LA GUAJIRA,44001,RIOHACHA,0,44001008,GALÁN,1,1,1,0,0,1
2022,2,AVANTEL S.A.S,76,VALLE DEL CAUCA,76606,RESTREPO,1,76606000,RESTREPO,1,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73449,MELGAR,0,73449001,CUALAMANÁ,1,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23189,CIÉNAGA DE ORO,0,23189023,SAN ANTONIO DEL TÁCHIRA,1,1,1,0,0,0
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25871,VILLAGÓMEZ,1,25871000,VILLAGÓMEZ,0,0,0,0,0,1
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25799,TENJO,0,25799012,LOS PINOS,1,1,0,0,0,0
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25126,CAJICÁ,0,25126013,RÍO GRANDE - LA ESPERANZA,1,1,0,0,0,1
2023,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15442,MARIPÍ,0,15442002,ZULIA,1,1,1,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001,MONTERÍA,0,23001035,MORINDÓ CENTRAL,1,1,1,0,0,0
2022,4,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05858,VEGACHÍ,1,05858000,VEGACHÍ,1,1,1,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27025,ALTO BAUDÓ,1,27025000,PIE DE PATO,1,1,1,0,0,1
2021,2,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52356,IPIALES,0,52356009,LAS CRUCES,0,1,1,0,0,0
2022,2,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20238,EL COPEY,0,20238003,CHIMILA,1,1,1,0,0,1
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,85,CASANARE,85230,OROCUÉ,0,85230003,EL ALGARROBO,0,0,0,0,0,1
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25781,SUTATAUSA,0,25781003,CHIRCAL DE SANTA BARBARA,1,1,0,0,0,0
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47460,NUEVA GRANADA,0,47460006,SAN JOSÉ DE BALLESTERO,0,0,0,0,0,1
2022,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52687,SAN LORENZO,0,52687001,EL CARMEN,1,0,0,0,0,0
2023,2,PARTNERS TELECOM COLOMBIA SAS,23,CÓRDOBA,23001,MONTERÍA,0,23001070,SAN FRANCISCO,0,0,0,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,0,44650017,VILLA DEL RÍO,1,1,1,0,0,0
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,15464,MONGUA,1,15464000,MONGUA,1,1,0,0,0,1
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,99,VICHADA,99524,LA PRIMAVERA,1,99524000,LA PRIMAVERA,0,1,1,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47318,GUAMAL,0,47318025,EL VEINTIOCHO,0,0,0,0,0,0
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25183,CHOCONTÁ,1,25183000,CHOCONTÁ,1,1,0,0,0,1
2022,3,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52210,CONTADERO,1,52210000,CONTADERO,1,1,1,0,0,1
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27600,RÍO QUITO,0,27600006,CHIGUARANDÓ ALTO,0,0,0,0,0,1
2021,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76100,BOLÍVAR,0,76100008,NARANJAL,1,0,0,0,0,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23189,CIÉNAGA DE ORO,0,23189034,LA DRAGA,1,1,1,0,0,0
2023,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15763,SOTAQUIRÁ,0,15763002,BOSIGAS,1,1,1,0,0,1
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,18,CAQUETA,18205,CURILLO,1,18205000,CURILLO,1,1,1,0,0,0
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05628,SABANALARGA,1,05628000,SABANALARGA,0,0,0,0,0,1
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,85,CASANARE,85015,CHAMEZA,1,85015000,CHÁMEZA,0,0,0,0,0,0
2021,2,COLOMBIA MOVIL  S.A ESP,66,RISARALDA,66001,PEREIRA,0,66001018,PUERTO CALDAS,1,0,0,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68684,SAN JOSÉ DE MIRANDA,1,68684001,SAN JOSÉ DE MIRANDA,1,1,1,1,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23580,PUERTO LIBERTADOR,0,23580009,SANTA FÉ LAS CLARAS,1,1,0,0,0,0
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,44,LA GUAJIRA,44001,RIOHACHA,0,44001028,ANAIME,1,0,0,0,0,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05147,CAREPA,0,05147003,PIEDRAS BLANCAS,1,1,1,0,0,1
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05038,ANGOSTURA,1,05038000,ANGOSTURA,0,0,0,0,0,1
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,1,05658000,SAN JOSÉ DE LA MONTAÑA,0,0,0,0,0,1
2022,2,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08634,SABANAGRANDE,1,08634000,SABANAGRANDE,1,1,1,0,0,1
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23815,TUCHÍN,0,23815014,BELLA VISTA,1,0,0,0,0,0
2022,3,AVANTEL S.A.S,27,CHOCÓ,27495,NUQUÍ,1,27495000,NUQUÍ,1,1,1,0,0,0
2022,2,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15500,OICATÁ,1,15500000,OICATÁ,1,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68406,LEBRIJA,0,68406026,CONDOMINIO VILLAS DE PALO NEGRO,1,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08421,LURUACO,0,08421001,ARROYO DE PIEDRA,1,1,1,0,0,1
2021,1,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76020,ALCALÁ,1,76020001,ALCALÁ,1,1,1,1,0,0
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,54,NORTE DE SANTANDER,54003,ABREGO,1,54003000,ÁBREGO,1,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54405,LOS PATIOS,0,54405008,LAGOS DE PALUJAN,1,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41001,NEIVA,0,41001012,VEGALARGA,1,0,0,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,0,25899029,EL CODITO,1,1,1,0,0,1
2021,3,PARTNERS TELECOM COLOMBIA SAS,76,VALLE DEL CAUCA,76520,PALMIRA,1,76520000,PALMIRA,0,1,1,0,0,1
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13001,CARTAGENA,0,13001001,ARROYO DE PIEDRA,1,1,1,0,0,0
2022,3,PARTNERS TELECOM COLOMBIA SAS,05,ANTIOQUIA,05659,SAN JUAN DE URABÁ,0,0,SIN CENTRO POBLADO,0,0,0,0,0,1
2022,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25572,PUERTO SALGAR,0,25572003,PUERTO LIBRE,1,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23300,COTORRA,0,23300007,VILLA NUEVA,1,1,1,0,0,1
2022,3,COLOMBIA MOVIL  S.A ESP,23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,0,23682006,VERSALLES,0,0,0,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,85,CASANARE,85250,PAZ DE ARIPORO,0,85250002,CENTRO GAITÁN,1,1,0,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68547,PIEDECUESTA,0,68547021,ALTAMIRA,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23189,CIÉNAGA DE ORO,0,23189023,SAN ANTONIO DEL TÁCHIRA,1,1,1,0,0,0
2022,4,COLOMBIA MOVIL  S.A ESP,08,ATLÁNTICO,08433,MALAMBO,1,08433000,MALAMBO,0,1,1,0,0,1
2022,2,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05501,OLAYA,0,05501004,QUEBRADA SECA,1,1,1,0,0,1
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,68,SANTANDER,68101,BOLÍVAR,1,68101000,BOLÍVAR,1,1,0,0,0,1
2022,4,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70233,EL ROBLE,1,70233000,EL ROBLE,0,1,1,0,0,1
2023,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70204,COLOSO,1,70204000,RICAURTE (COLOSO),1,1,1,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41872,VILLAVIEJA,0,41872004,POLONIA,1,1,1,0,0,0
2021,4,COMUNICACION CELULAR S A COMCEL S A,50,META,50006,ACACÍAS,1,50006000,ACACÍAS,1,1,1,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19075,BALBOA,0,19075008,LA LOMITA,1,0,0,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19397,LA VEGA,0,19397001,ALTAMIRA,1,1,1,0,0,0
2022,4,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20175,CHIMICHAGUA,0,20175004,CANDELARIA,1,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70221,COVEÑAS,0,70221002,EL REPARO,1,0,0,0,0,0
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,08,ATLÁNTICO,08573,PUERTO COLOMBIA,1,08573000,PUERTO COLOMBIA,1,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68160,CEPITÁ,1,68160000,CEPITÁ,1,1,1,0,0,1
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52,NARIÑO,52411,LINARES,1,52411000,LINARES,0,1,1,0,0,0
2022,3,COLOMBIA MOVIL  S.A ESP,15,BOYACÁ,15114,BUSBANZÁ,1,15114000,BUSBANZÁ,1,1,1,0,0,1
2023,3,PARTNERS TELECOM COLOMBIA SAS,13,BOLÍVAR,13744,SIMITÍ,1,13744000,SIMITÍ,0,1,1,0,0,1
2023,1,PARTNERS TELECOM COLOMBIA SAS,05,ANTIOQUIA,05659,SAN JUAN DE URABÁ,0,05659003,UVEROS,0,0,0,0,0,1
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27150,CARMEN DEL DARIÉN,1,27150000,CURBARADÓ,0,1,1,0,0,0
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47053,ARACATACA,0,47053013,SAMPUÉS,1,1,1,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73055,ARMERO,0,73055002,MÉNDEZ,1,1,1,0,0,0
2022,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001,MONTERÍA,0,23001020,SANTA LUCÍA,1,1,1,0,0,1
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,05,ANTIOQUIA,05360,ITAGUI,1,05360000,ITAGÜÍ,1,1,0,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,63,QUINDÍO,63190,CIRCASIA,0,63190001,LA POLA,1,0,0,0,0,0
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70713,SAN ONOFRE,1,70713000,SAN ONOFRE,1,1,1,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,1,27660000,SAN JOSÉ DEL PALMAR,1,1,1,0,0,1
2022,3,COLOMBIA MOVIL  S.A ESP,73,TOLIMA,73854,VALLE DE SAN JUAN,1,73854000,VALLE DE SAN JUAN,1,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47245,EL BANCO,0,47245025,BOTILLERO,1,1,1,0,0,0
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76736,SEVILLA,1,76736000,SEVILLA,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54313,GRAMALOTE,0,54313005,LA LOMITA,1,1,1,1,0,0
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76130,CANDELARIA,0,76130020,DOMINGO LARGO,1,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,18,CAQUETA,18150,CARTAGENA DEL CHAIRÁ,1,18150000,CARTAGENA DEL CHAIRÁ,1,1,1,0,0,1
2022,4,COLOMBIA MOVIL  S.A ESP,20,CESAR,20770,SAN MARTÍN,0,20770011,LOS BAGRES,0,0,0,0,0,1
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,05,ANTIOQUIA,05660,SAN LUIS,1,05660000,SAN LUIS,1,1,0,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68773,SUCRE,1,68773000,SUCRE,1,1,1,0,0,1
2023,2,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,05789,TÁMESIS,1,05789000,TÁMESIS,0,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08421,LURUACO,0,08421005,SANTA CRUZ,1,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76001,CALI,0,76001004,EL HORMIGUERO,1,1,1,0,0,0
2022,3,PARTNERS TELECOM COLOMBIA SAS,17,CALDAS,17001,MANIZALES,1,17001000,MANIZALES,0,1,1,0,0,1
